2026-01-31 05:28:54,750 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:28:54,750 | INFO | Conversion finished
2026-01-31 05:29:18,619 | INFO | Debug logging enabled
2026-01-31 05:29:18,619 | INFO | Auto conversion after sync
2026-01-31 05:29:18,619 | INFO | Conversion started (manual=False)
2026-01-31 05:29:18,621 | INFO | Debug logging enabled
2026-01-31 05:29:18,622 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:29:18,628 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:29:18,632 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'n', '★'] out=['JPN::Wortart::Nomen']
2026-01-31 05:29:18,632 | DEBUG | Collected tags for note 1769833755298: ['Freq::3161', 'JLPT::N5', 'JPN::Wortart::Nomen', '_intern::yomitan::お_菓子かし::1769833755298', '_intern::yomitan_export']
2026-01-31 05:29:18,634 | DEBUG | Linked new note 1769833758632 into source note 1769833755298 field LinkedNotes
2026-01-31 05:29:18,636 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:29:18,637 | INFO | Conversion finished
2026-01-31 05:30:19,374 | INFO | Debug logging enabled
2026-01-31 05:30:19,375 | INFO | Auto conversion after sync
2026-01-31 05:30:19,375 | INFO | Conversion started (manual=False)
2026-01-31 05:30:19,377 | INFO | Debug logging enabled
2026-01-31 05:30:19,377 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:30:19,383 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:30:19,387 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'aux-v', 'v5k', 'vt', '★'] out=['JPN::Wortart::Godan-Verb(unklassifiziert)', 'JPN::Wortart::Hilfsverb', 'JPN::Wortart::transitivesVerb']
2026-01-31 05:30:19,387 | DEBUG | Collected tags for note 1769833816023: ['Freq::155', 'JLPT::N5', 'JPN::Wortart::Godan-Verb(unklassifiziert)', 'JPN::Wortart::Hilfsverb', 'JPN::Wortart::transitivesVerb', '_intern::yomitan::置おく::1769833816023', '_intern::yomitan_export']
2026-01-31 05:30:19,390 | DEBUG | Linked new note 1769833819388 into source note 1769833816023 field LinkedNotes
2026-01-31 05:30:19,392 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:30:19,392 | INFO | Conversion finished
2026-01-31 05:32:51,726 | INFO | Debug logging enabled
2026-01-31 05:32:51,726 | INFO | Auto conversion after sync
2026-01-31 05:32:51,727 | INFO | Conversion started (manual=False)
2026-01-31 05:32:51,728 | INFO | Debug logging enabled
2026-01-31 05:32:51,729 | INFO | Starting conversion for source types: [1769367768468]
